Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound,,,,,,,,,,,,,
,JailerGirl,感...感覺把她交給下面這群人怪可憐的...,sad,,,,,,,,,,,,,,,,,,,,,,
,,真琴垂下尾巴看起來是妥協了。,,,,,,,,,,,,,,,,,,,,,,,
,WolfGirl,嗷嗚...好吧...,sad,,,,,hide,,,,,,,,,,,,,,,,,
,fatguy,把里莎交給我們！呵呵♡,normal,Left,,,,jump,,,,,,,,,,,,,,,,,
,,台下的觀眾開始湧入舞台，並露出痴漢般的笑容。,,,,,,,,,,,,,,,,,,,,,,,
,Witch,結界術！,angry,Right,,,,jump,,,,,,,,,,,,,,,,,
,,一道粉色透明光牆擋住了肥宅們。,,,,,,,,,,,,,,,,,,,,,,,
,fatguy,可惡！這是什麼！？,angry,,,,,shake,,,,,,,,,,,,,,,,,
,Witch,呵♪就當挖你底細的賠罪吧~,,,,,,hide,,,,,,,,,,,,,,,,,
,Hero,就趁現在！,,,,,,,,,,,,,,,,,,,,,,,
,,將後台發現的棉被把里莎捆住後並纏繞上繩子。,,,,,,,,,,,,,,,,,,,,,,,
,Hero,真琴拉上她我們快走！,,,,,,,,,,,,,,,,,,,,,,,
,WolfGirl,嗷嗚！遵命！,happy,Right,,,,jump,,,,,,,,,,,,,,,,,
,,一行人慌張的逃離了現場。,,,,,,,,,,,,,,,,,,,,,,,
END,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
