Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound,,,,,,,,,,,,,
,Idol_Sp,唔唔唔唔！！,sm,,,,,jump,,,,,,,,,,,,,,,,,
,Witch,我就說吧♪,happy,,,,,,,,,,,,,,,,,,,,,,
,JailerGirl,那個...這樣一直綁著，真的好嗎?,sad,,,,,,,,,,,,,,,,,,,,,,
,Witch,,happy,,,,,hide,,,,,,,,,,,,,,,,,
,WolfGirl,上次解開，她開口就叫我笨狗。,angry,Left,,,,,,,,,,,,,,,,,,,,,
,JailerGirl,...,scare,,,,,,,,,,,,,,,,,,,,,,
,JailerGirl,那、那就先這樣好了。,sad,,,,,jump,,,,,,,,,,,,,,,,,
,Idol_Sp,唔!?,sm,,,,,jump,,,,,,,,,,,,,,,,,
,,走廊的盡頭，是一扇比先前都要厚重的鐵門。,,,,,,,,,,,,,,,,,,,,,,,
,Hero,哇...這扇門也太誇張了吧?,,,,,,,,,,,,,,,,,,,,,,,
,JailerGirl,這是隔離門…,normal,Center,,,,,,,,,,,,,,,,,,,,,
,JailerGirl,穿過去就是獄卒的宿舍區，還有一般市民來探監的面會大廳。,normal,,,,,,,,,,,,,,,,,,,,,,
,JailerGirl,出口...就在那後面。,happy,,,,,jump,,,,,,,,,,,,,,,,,
,Hero,也就是說，過了這扇門我們就快到了！,,,,,,,,,,,,,,,,,,,,,,,
,WolfGirl,嗷嗚！那還等什麼！,happy,,,,,jump,,,,,,,,,,,,,,,,,
,,真琴隨手把粽子往旁邊一丟，衝上前用力推門。,,,,,,,,,,,,,,,,,,,,,,,
,Idol_Sp,唔哇！,sm,,,,,hit,,,,,,,,,,,,,,,,,
,WolfGirl,嗯...！！,angry,,,,,hit,,,,,,,,,,,,,,,,,
,,鐵門紋風不動。,,,,,,,,,,,,,,,,,,,,,,,
,WolfGirl,打...打不開!?,scare,,,,,jump,,,,,,,,,,,,,,,,,
,Hero,我也來試試...喝！,,,,,,,,,,,,,,,,,,,,,,,
,,你使出吃奶的力氣，只換來手掌一片通紅。,,,,,,,,,,,,,,,,,,,,,,,
,Hero,不行，這根本不是推不推得動的問題。,,,,,,,,,,,,,,,,,,,,,,,
,WolfGirl,咕嗚…,scare,,,,,hide,,,,,,,,,,,,,,,,,
,Witch,當然推不動囉♪,happy,Left,,,,,,,,,,,,,,,,,,,,,
,Witch,這扇門上面，一點魔力都沒有流動呢~,normal,,,,,,,,,,,,,,,,,,,,,,
,JailerGirl,啊！,scare,,,,,jump,,,,,,,,,,,,,,,,,
,JailerGirl,我...我想起來了！這是魔導閘門...,normal,,,,,,,,,,,,,,,,,,,,,,
,JailerGirl,要通電才會升起來，用推的一輩子也推不開。,sad,,,,,,,,,,,,,,,,,,,,,,
,Hero,那電是從哪來的?,,,,,,,,,,,,,,,,,,,,,,,
,JailerGirl,監獄裡有兩座魔力爐，南邊和北邊各一座。,normal,,,,,,,,,,,,,,,,,,,,,,
,JailerGirl,地震之後...應該是兩座都停了。,sad,,,,,,,,,,,,,,,,,,,,,,
,Hero,所以只要把兩座都重新接起來，門就會開?,,,,,,,,,,,,,,,,,,,,,,,
,JailerGirl,還不夠…,normal,,,,,,,,,,,,,,,,,,,,,,
,JailerGirl,爐子只是供電，門要開，得有人去監控室拉總閘。,normal,,,,,,,,,,,,,,,,,,,,,,
,Hero,所以是三個地方。,,,,,,,,,,,,,,,,,,,,,,,
,Hero,北爐、南爐，最後是監控室。,,,,,,,,,,,,,,,,,,,,,,,
,JailerGirl,嗯！,happy,,,,,jump,,,,,,,,,,,,,,,,,
,Witch,啊啦~小可愛今天挺可靠的嘛♪,happy,,,,,,,,,,,,,,,,,,,,,,
,JailerGirl,我...我只是把手冊背起來而已...,sad,,,,,,,,,,,,,,,,,,,,,,
,JailerGirl,魔力不好的人，都被派去記這種雜事。,sad,,,,,,,,,,,,,,,,,,,,,,
,Hero,那不是很好嗎?,,,,,,,,,,,,,,,,,,,,,,,
,Hero,現在全隊只有你知道怎麼出去。,,,,,,,,,,,,,,,,,,,,,,,
,JailerGirl,！,shy,,,,,jump,,,,,,,,,,,,,,,,,
,JailerGirl,那...那我帶路！先去北邊！,happy,,,,,jump,,,,,,,,,,,,,,,,,
,Witch,♪,happy,,,,,hide,,,,,,,,,,,,,,,,,
,WolfGirl,嗷嗚——！,happy,Left,,,,run,,,,,,,,,,,,,,,,,
,Idol_Sp,唔唔唔唔唔！！,sm,,,,,jump,,,,,,,,,,,,,,,,,
,,粽子又被拖著上路了。,,,,,,,,,,,,,,,,,,,,,,,
END,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
